# Directed graph: Slashdot0902Compressed.txt 
# tab-separated list of edges, followed by a map of
# Nodes: 126 Edges: 131
# FromNodeId	ToNodeId
82414	71721
28614	73228
30497	33319
31666	74287
82375	81467
82370	81555
82368	75294
82366	75594
36748	75866
41115	19504
41131	76978
41758	77111
43498	77518
49802	18035
82183	81809
82323	81890
53103	64424
82415	79008
56338	27416
56386	79586
56413	79593
58360	79861
82298	79879
58966	79917
82268	80467
63893	80490
82196	80492
82400	65851
68828	80987
82246	82079
82240	81193
82233	82108
73430	81412
82176	82421
82374	81478
82186	75626
76024	81629
76334	81660
76381	81662
77190	81737
77503	81775
82326	81883
82325	78973
82322	81894
82320	81911
82316	79875
82313	79492
82304	81957
82270	82026
80558	82044
80560	82045
80562	82047
80563	82048
80569	82051
82262	82052
82206	82162
82194	82054
82178	75876
82191	82083
81428	82204
82225	82118
82422	34064
82168	18035
82168	19504
82168	27416
82168	28614
82168	30497
82168	31666
82168	33319
82168	34064
82168	36748
82168	41115
82168	41131
82168	41758
82168	43498
82168	49802
82168	53103
82168	56338
82168	56386
82168	56413
82168	58360
82168	58966
82168	63893
82168	64424
82168	68828
82168	73430
82168	76024
82168	76334
82168	76381
82168	77190
82168	77503
82168	80558
82168	80560
82168	80562
82168	80563
82168	80569
82168	81428
82168	82176
82168	82178
82168	82183
82168	82186
82168	82191
82168	82194
82168	82196
82168	82206
82168	82225
82168	82233
82168	82240
82168	82246
82168	82262
82168	82268
82168	82270
82168	82298
82168	82304
82168	82313
82168	82316
82168	82320
82168	82322
82168	82323
82168	82325
82168	82326
82168	82366
82168	82368
82168	82370
82168	82374
82168	82375
82168	82400
82168	82414
82168	82415
82168	82420
82168	82422

list of Nodes paired with the SuperNode that represents that Node in the compressed graph
(0, 82168)
(1, 82168)
(3, 82168)
(4, 82168)
(5, 82168)
(6, 82168)
(7, 82168)
(8, 82168)
(9, 82168)
(10, 82168)
(11, 82168)
(12, 82168)
(13, 82168)
(14, 82168)
(15, 82168)
(16, 82168)
(17, 82168)
(18, 82168)
(19, 82168)
(20, 82168)
(21, 82168)
(22, 82168)
(23, 82168)
(24, 82168)
(25, 82168)
(26, 82168)
(27, 82168)
(28, 82168)
(29, 82168)
(30, 82168)
(31, 82168)
(32, 82168)
(33, 82168)
(34, 82168)
(35, 82168)
(36, 82168)
(37, 82168)
(38, 82168)
(39, 82168)
(40, 82168)
(41, 82168)
(42, 82168)
(43, 82168)
(44, 82168)
(45, 82168)
(46, 82168)
(47, 82168)
(48, 82168)
(49, 82168)
(50, 82168)
(51, 82168)
(52, 82168)
(53, 82168)
(54, 82168)
(55, 82168)
(56, 82168)
(57, 82168)
(58, 82168)
(59, 82168)
(60, 82168)
(61, 82168)
(62, 82168)
(63, 82168)
(64, 82168)
(65, 82168)
(66, 82168)
(67, 82168)
(68, 82168)
(69, 82168)
(70, 82168)
(71, 82168)
(72, 82168)
(73, 82168)
(74, 82168)
(75, 82168)
(76, 82168)
(77, 82168)
(78, 82168)
(79, 82168)
(80, 82168)
(81, 82168)
(82, 82168)
(83, 82168)
(84, 82168)
(85, 82168)
(86, 82168)
(87, 82168)
(88, 82168)
(89, 82168)
(90, 82168)
(91, 82168)
(92, 82168)
(93, 82168)
(94, 82168)
(95, 82168)
(96, 82168)
(97, 82168)
(98, 82168)
(99, 82168)
(100, 82168)
(101, 82168)
(102, 82168)
(103, 82168)
(104, 82168)
(105, 82168)
(106, 82168)
(107, 82168)
(108, 82168)
(109, 82168)
(110, 82168)
(111, 82168)
(112, 82168)
(113, 82168)
(114, 82168)
(115, 82168)
(116, 82168)
(117, 82168)
(118, 82168)
(119, 82168)
(120, 82168)
(121, 82168)
(122, 82168)
