# Directed graph: p2p-Gnutella08Compressed.txt 
# tab-separated list of edges, followed by a map of
# Nodes: 760 Edges: 1188
# FromNodeId	ToNodeId
0	6301
0	6302
1895	1860
13	2074
14	809
3147	534
3147	4270
3147	6315
92	6383
1711	2707
22	24
22	26
22	6301
1656	6390
38	2007
38	2167
38	6335
2007	203
2007	527
2007	3581
2007	3680
2007	3786
2007	3789
2007	6312
1932	364
1932	685
1932	921
1932	1313
1932	1829
1932	2644
1932	3018
1932	3713
1932	3714
44	50
44	6301
44	6305
1939	840
1998	3770
1950	2652
1950	2931
1950	6371
1951	3113
66	6301
66	6307
1067	6343
1986	1103
1988	3768
914	2042
104	2025
2022	2344
324	568
2065	585
2070	1425
2070	2167
2070	2966
2070	6304
137	1728
2095	3862
2102	1766
2102	1956
2102	2218
2102	3786
2102	6396
5048	5566
5940	376
1766	2218
1766	2370
1766	3680
1766	3681
181	191
181	6311
191	2370
191	6308
192	38
192	194
192	6301
194	1020
194	2136
194	6309
194	6384
2136	3888
203	6423
6424	6301
209	1903
209	2430
209	6344
2171	3907
2172	828
2172	1291
2172	1575
2172	3713
2172	6310
236	24
236	241
236	6301
236	6314
241	6382
1070	2975
922	6393
1202	3105
2245	4092
302	6355
310	316
310	6301
310	6317
316	6301
2278	152
2278	1313
2278	2975
2278	6380
2284	4105
3590	4845
2304	1327
2304	6360
2296	3987
2331	5437
2326	6403
379	2373
2348	1087
2351	6357
399	405
399	6301
399	6319
410	413
410	417
410	6301
413	2393
1256	3114
428	431
428	6301
431	2426
431	6301
1090	1516
1090	2430
1090	6361
439	442
439	443
439	6301
439	6321
483	1812
2456	942
722	2713
532	1329
532	1330
2489	2661
516	6301
516	6324
581	2538
526	56
526	527
527	1020
527	2935
527	3786
527	6350
536	1132
537	541
537	6301
537	6327
541	200
541	6334
982	3029
982	6398
560	563
560	566
560	567
560	568
560	6329
563	1575
563	2583
563	6389
2536	2254
588	6330
608	2026
2550	2163
668	6333
636	6301
636	6332
876	541
647	585
647	648
647	653
647	6301
2589	4185
2604	4166
1441	567
1441	3301
1441	6381
706	6407
1594	1595
2642	6337
719	722
719	723
719	727
719	6301
727	152
4072	4854
5138	2383
928	2652
2660	1840
2662	4250
2682	4173
2704	837
775	776
1146	2430
1146	3180
6428	3497
1336	260
889	6388
896	563
896	6301
896	6341
2781	1980
929	6301
929	6342
941	6087
948	949
948	950
948	6301
949	2831
949	2835
949	6301
949	6395
950	6301
950	6394
2831	982
2831	6301
2831	6412
2835	4331
2835	6301
956	2836
961	560
961	964
961	966
961	6301
964	364
964	2845
964	6301
994	995
997	1829
997	2383
997	6326
1536	1050
999	1000
999	1001
999	1008
999	6301
1001	788
1001	1100
1001	1291
1001	2931
1001	2935
1001	2936
1001	6331
2936	534
2936	2414
2936	3772
2936	6413
1011	3044
2926	664
2944	1240
2944	1425
2944	6375
2950	4435
1043	3146
1043	4264
4264	1157
2989	2232
2989	2448
1075	1080
1075	1081
1075	1083
1075	6301
1080	6301
1081	922
1081	6323
1098	1100
1098	1103
1098	1105
1098	6346
1098	6347
1108	6348
1108	6425
6426	1956
1117	6301
1117	6349
3001	200
1126	3147
1126	3148
1133	3158
3148	3301
1134	164
3025	3335
3025	6402
1181	1184
1181	1189
1181	6301
1181	6351
1184	2259
1189	3054
1344	1288
1344	2966
1344	3018
1344	3185
1344	6353
1200	1202
1200	1204
1200	1205
1200	1207
1200	6301
1200	6352
1204	6301
1204	6400
1205	3068
1205	6301
1207	3074
1207	3078
1207	6301
1207	6399
3074	4493
3074	6301
3078	4500
3078	6301
1211	1800
1218	941
1218	1000
1218	6301
1222	1227
1222	6301
1222	6354
5312	5278
1237	1240
1237	1241
1237	6301
1237	6356
1241	1492
3106	2543
6425	6301
1260	1263
1260	6301
3127	3185
3127	4641
3127	6385
1286	1056
1286	1100
1286	1288
1286	1291
1286	1293
1286	6301
1294	1295
1294	6301
1294	6358
1307	1308
1307	1313
1307	6301
1307	6359
1308	2661
1308	6301
1308	6401
3193	1983
3223	1327
3223	6386
3224	2516
3235	1313
3235	1538
3235	4620
3235	6316
5487	5858
3250	1903
3234	4709
1398	1399
1398	6301
1399	3243
1399	3246
1399	6301
3246	840
3246	4630
3246	4631
3246	6301
3254	1067
1444	6420
1403	6301
1403	6363
3274	4644
4635	443
4635	664
4635	828
4635	942
4635	6392
3297	921
1442	575
1443	1444
1445	6301
1445	6364
1453	1295
1453	1455
1453	6301
1460	1461
1462	6301
1462	6365
3317	4678
1478	1481
1478	6301
1478	6366
1493	1227
1495	1496
1497	828
1497	1501
1497	6301
1497	6367
1506	1090
1506	1511
1506	6369
1520	6301
1520	6370
6061	6150
1545	1837
1562	405
1562	1105
1562	1566
1562	1567
1562	6301
1566	1425
1566	3353
1566	6301
3359	997
1577	6328
1579	1240
1579	1580
1579	1582
1579	6301
1582	6301
1584	1036
1596	1603
1596	6301
1603	6301
1627	364
1627	442
1627	2278
1627	6405
1632	1481
1648	1649
1649	324
1649	1157
1649	3396
1649	3397
1649	3398
3396	6301
3397	4304
3398	4745
3398	6301
3398	6415
1657	1663
1657	6301
1657	6372
1663	6301
1674	1680
1674	6301
1674	6373
1680	2131
1683	1684
1691	3669
1692	191
1692	1256
1692	6301
1692	6374
3478	1539
1710	1711
1712	1713
1713	2163
1713	6301
1713	6406
1722	1723
1723	6301
1742	1745
1742	1746
1742	6301
1746	889
1746	3505
1746	6301
3505	6301
3519	648
3519	1227
3519	4883
3519	6340
1753	1759
1753	6301
1785	1793
1785	6301
1793	2543
1793	2713
1793	3541
1793	6301
3547	711
1834	1835
1834	1837
1834	1839
1834	1840
1834	6301
1839	3590
1839	6301
1839	6408
3581	3750
1847	6301
1847	6378
1856	1211
1856	1857
1856	1858
1856	1860
1856	6301
1857	757
1857	3612
1857	6301
1857	6409
3612	4855
1864	1608
1864	1869
1864	6301
1871	3491
1876	1288
1877	534
1877	1879
1877	1884
1877	6301
1884	6301
1893	6345
3694	1280
3714	1056
3710	3335
3710	6410
3737	660
3765	921
3765	4918
3765	6414
3772	2414
3819	1441
3819	1538
3819	6320
3851	850
3839	4063
3848	3212
3931	566
3931	3212
3931	6404
4806	5451
3952	4706
3975	57
5165	5407
4026	1330
4026	6417
4038	2236
4059	3789
4083	4317
4102	50
4102	2557
4106	6322
4117	5086
4143	685
4143	1036
4143	6376
4144	1481
4144	6318
4149	5105
4151	5091
5600	4943
4175	5209
4205	1501
4236	5105
4236	5156
4236	6368
5807	648
5807	4170
5807	6377
4253	5169
4256	2613
4269	4797
4291	5017
4304	5157
4317	1511
4336	4491
4391	1894
4458	491
4458	541
4458	5300
4458	6306
4500	1884
4500	5283
4500	6301
4505	3456
4506	5316
4572	5376
4592	5380
4603	5381
4620	2645
4631	664
4631	2218
4631	5394
4631	6301
4674	5283
4680	3590
4680	4080
4680	6379
4745	56
4745	3681
4745	5461
4745	6301
6429	788
4837	5525
4881	5672
4918	5577
4921	6313
4923	5428
4948	5583
5937	5614
5937	6338
5021	5604
5024	114
5037	6391
5034	3029
5042	2968
5043	2557
5060	363
5077	837
5077	4270
5077	6397
5093	2031
5120	626
5156	3370
5190	1056
5222	3301
5259	4540
5250	5733
5291	6421
5290	3476
5292	1240
5292	3029
5292	4641
5292	6418
5884	6040
5357	1516
5357	6419
5380	1001
5372	2594
5379	2579
6427	3218
5500	2059
5505	295
5509	2218
5509	4854
5509	6362
5523	241
5568	1575
5568	6339
5587	5300
5614	4415
5643	5918
5655	1608
5656	442
5691	3481
5708	5943
5703	789
5740	2018
5757	4570
5755	3509
5802	4273
5858	612
5847	1240
5847	1691
5847	6325
5866	2232
5866	3481
5537	5538
5537	5539
5537	5540
5537	6301
5538	6301
5538	6422
5539	6301
5932	552
5971	6091
6059	683
6018	443
6031	4966
6089	6237
6105	6179
6134	3960
6163	491
6163	2583
6163	6336
6155	3768
6155	4080
6155	4883
6155	5086
6155	6387
6194	6416
6187	4170
6243	3243
6255	757
6282	6411
6301	13
6301	14
6301	38
6301	50
6301	56
6301	57
6301	92
6301	104
6301	114
6301	137
6301	152
6301	164
6301	181
6301	191
6301	200
6301	203
6301	209
6301	241
6301	260
6301	295
6301	302
6301	324
6301	363
6301	364
6301	376
6301	379
6301	413
6301	442
6301	443
6301	483
6301	491
6301	526
6301	527
6301	532
6301	534
6301	536
6301	541
6301	552
6301	560
6301	563
6301	566
6301	567
6301	568
6301	575
6301	581
6301	585
6301	588
6301	608
6301	612
6301	626
6301	648
6301	660
6301	664
6301	668
6301	683
6301	685
6301	706
6301	711
6301	722
6301	727
6301	757
6301	776
6301	788
6301	789
6301	809
6301	828
6301	837
6301	840
6301	850
6301	876
6301	889
6301	914
6301	921
6301	922
6301	928
6301	941
6301	942
6301	956
6301	982
6301	995
6301	997
6301	1001
6301	1011
6301	1020
6301	1036
6301	1043
6301	1050
6301	1056
6301	1067
6301	1070
6301	1081
6301	1087
6301	1090
6301	1100
6301	1103
6301	1126
6301	1132
6301	1133
6301	1134
6301	1146
6301	1157
6301	1184
6301	1202
6301	1211
6301	1227
6301	1240
6301	1256
6301	1280
6301	1288
6301	1291
6301	1313
6301	1327
6301	1330
6301	1336
6301	1344
6301	1425
6301	1441
6301	1442
6301	1443
6301	1444
6301	1460
6301	1481
6301	1492
6301	1493
6301	1495
6301	1501
6301	1506
6301	1511
6301	1516
6301	1536
6301	1538
6301	1539
6301	1545
6301	1575
6301	1577
6301	1584
6301	1594
6301	1595
6301	1608
6301	1627
6301	1632
6301	1656
6301	1691
6301	1710
6301	1711
6301	1728
6301	1766
6301	1800
6301	1812
6301	1829
6301	1837
6301	1840
6301	1860
6301	1871
6301	1893
6301	1894
6301	1895
6301	1903
6301	1932
6301	1939
6301	1950
6301	1951
6301	1956
6301	1980
6301	1983
6301	1986
6301	1988
6301	1998
6301	2007
6301	2018
6301	2022
6301	2026
6301	2031
6301	2042
6301	2059
6301	2065
6301	2070
6301	2074
6301	2095
6301	2102
6301	2131
6301	2136
6301	2163
6301	2167
6301	2171
6301	2172
6301	2218
6301	2232
6301	2236
6301	2245
6301	2254
6301	2259
6301	2278
6301	2284
6301	2296
6301	2304
6301	2326
6301	2331
6301	2344
6301	2348
6301	2351
6301	2373
6301	2383
6301	2414
6301	2430
6301	2448
6301	2456
6301	2489
6301	2516
6301	2536
6301	2538
6301	2543
6301	2550
6301	2557
6301	2579
6301	2583
6301	2589
6301	2594
6301	2604
6301	2613
6301	2642
6301	2644
6301	2645
6301	2652
6301	2660
6301	2661
6301	2662
6301	2682
6301	2704
6301	2707
6301	2713
6301	2781
6301	2836
6301	2926
6301	2931
6301	2935
6301	2936
6301	2944
6301	2950
6301	2966
6301	2968
6301	2975
6301	2989
6301	3001
6301	3018
6301	3025
6301	3029
6301	3054
6301	3105
6301	3106
6301	3113
6301	3114
6301	3127
6301	3146
6301	3147
6301	3185
6301	3193
6301	3212
6301	3218
6301	3223
6301	3224
6301	3234
6301	3235
6301	3243
6301	3250
6301	3254
6301	3274
6301	3297
6301	3301
6301	3317
6301	3335
6301	3359
6301	3370
6301	3397
6301	3456
6301	3476
6301	3478
6301	3481
6301	3491
6301	3497
6301	3509
6301	3519
6301	3547
6301	3581
6301	3590
6301	3612
6301	3680
6301	3681
6301	3694
6301	3710
6301	3713
6301	3714
6301	3737
6301	3750
6301	3765
6301	3768
6301	3772
6301	3786
6301	3789
6301	3819
6301	3839
6301	3848
6301	3851
6301	3862
6301	3907
6301	3931
6301	3952
6301	3960
6301	3975
6301	4026
6301	4038
6301	4059
6301	4063
6301	4072
6301	4080
6301	4083
6301	4102
6301	4106
6301	4117
6301	4143
6301	4144
6301	4149
6301	4151
6301	4166
6301	4170
6301	4173
6301	4175
6301	4185
6301	4205
6301	4236
6301	4250
6301	4253
6301	4256
6301	4264
6301	4269
6301	4270
6301	4273
6301	4291
6301	4304
6301	4317
6301	4336
6301	4391
6301	4415
6301	4458
6301	4491
6301	4505
6301	4506
6301	4540
6301	4570
6301	4572
6301	4592
6301	4603
6301	4635
6301	4641
6301	4674
6301	4680
6301	4706
6301	4797
6301	4806
6301	4837
6301	4854
6301	4855
6301	4881
6301	4883
6301	4921
6301	4923
6301	4943
6301	4948
6301	4966
6301	5017
6301	5021
6301	5024
6301	5034
6301	5037
6301	5042
6301	5043
6301	5048
6301	5060
6301	5077
6301	5086
6301	5093
6301	5120
6301	5138
6301	5156
6301	5157
6301	5165
6301	5190
6301	5209
6301	5222
6301	5250
6301	5259
6301	5278
6301	5283
6301	5290
6301	5291
6301	5292
6301	5300
6301	5312
6301	5316
6301	5357
6301	5372
6301	5379
6301	5407
6301	5428
6301	5437
6301	5451
6301	5487
6301	5500
6301	5505
6301	5509
6301	5523
6301	5566
6301	5568
6301	5587
6301	5600
6301	5604
6301	5614
6301	5643
6301	5655
6301	5656
6301	5672
6301	5691
6301	5703
6301	5708
6301	5740
6301	5755
6301	5757
6301	5802
6301	5807
6301	5847
6301	5866
6301	5884
6301	5932
6301	5937
6301	5940
6301	5971
6301	6018
6301	6031
6301	6059
6301	6061
6301	6089
6301	6091
6301	6105
6301	6134
6301	6155
6301	6163
6301	6179
6301	6187
6301	6194
6301	6237
6301	6243
6301	6255
6301	6282
6301	6303
6301	6309
6301	6310
6301	6313
6301	6315
6301	6320
6301	6322
6301	6338
6301	6339
6301	6340
6301	6344
6301	6345
6301	6346
6301	6350
6301	6355
6301	6357
6301	6360
6301	6368
6301	6371
6301	6376
6301	6379
6301	6381
6301	6382
6301	6383
6301	6385
6301	6390
6301	6397
6301	6403
6301	6404
6301	6405
6301	6413
6301	6414
6301	6419
6301	6426
6301	6427
6301	6428
6301	6429

list of Nodes paired with the SuperNode that represents that Node in the compressed graph
(3, 6301)
(4, 6301)
(5, 6301)
(7, 6301)
(8, 6301)
(9, 6301)
(11, 6301)
(15, 6301)
(17, 6301)
(20, 6301)
(21, 6301)
(25, 6301)
(27, 6301)
(28, 6301)
(29, 6301)
(30, 6301)
(31, 6301)
(32, 6301)
(33, 6301)
(36, 6301)
(39, 6301)
(43, 6301)
(49, 6301)
(55, 6301)
(60, 6301)
(61, 6301)
(62, 6301)
(63, 6301)
(64, 6301)
(65, 6301)
(67, 6301)
(68, 6301)
(73, 6301)
(75, 6301)
(76, 6301)
(78, 6301)
(80, 6301)
(81, 6301)
(83, 6301)
(87, 6301)
(89, 6301)
(91, 6301)
(100, 6301)
(101, 6301)
(102, 6301)
