# Directed graph: soc-Epinions1SCC.txt 
# Save as tab-separated list of edges
# Nodes: 42176 Edges: 43797
# FromNodeId	ToNodeId
76867	39613
76867	75888
76388	75888
3453	3444
76787	75888
4548	35811
76859	40704
76859	75888
7188	41067
9445	47073
10375	22805
76945	75888
12121	38647
76079	75888
36472	64926
74444	75625
72002	75275
72002	75276
72003	75016
76604	75888
75968	75888
13287	51785
13292	51789
76777	75888
37438	65139
74881	72015
13958	13957
15351	53466
76889	63680
76889	75888
76889	76565
15542	53599
76732	28936
76732	75888
76730	75888
17622	55282
17642	55291
76729	55281
17674	55322
35311	35190
57601	20401
65326	38014
76203	75256
76203	75257
76203	75258
76203	75888
18100	30918
18319	28842
18467	24378
76895	75888
76634	75888
76926	75888
76655	60354
76655	75888
76919	75888
24789	60541
16205	54198
76647	60745
76647	75888
7345	43351
7345	43352
73258	75486
7495	43768
17041	21280
21640	56146
8500	26971
27016	61522
27030	76443
25670	60964
76914	27113
76914	75888
29957	62584
12484	41348
12490	50674
12490	50675
75973	75888
26726	61428
19892	57174
28047	61898
14103	4553
11034	48986
11061	49001
72197	75311
76686	75888
28759	62178
76734	75888
25710	60979
25710	60980
76569	10375
76569	17725
76569	32397
76569	32404
76569	75888
36349	33945
8838	46179
8838	46180
73856	75563
29188	62348
29311	62391
76523	75888
44247	66899
76437	75888
14283	52455
76771	35624
14345	52495
50564	68247
52473	17631
53223	15046
76335	71058
76658	75888
63332	31911
76495	76606
75941	65546
75941	70525
76353	75888
69845	60527
76168	75888
74110	75589
76210	75888
74207	75595
74217	75596
74238	75597
76165	75602
76165	75604
74350	75609
74354	74109
75924	69598
75924	69599
75924	75888
65923	65922
30551	76711
30556	22770
12400	50595
18817	56099
75976	75679
75976	75888
75976	76141
76943	12083
76943	75888
76928	75888
58773	21982
59007	22391
59008	22391
59262	22770
73813	74873
74870	75693
75908	75888
20280	57488
76092	75888
76133	75888
29987	62596
29991	22119
30316	13264
20042	57273
30906	76748
76899	75888
76585	75888
