# Directed graph: twitter_combinedCompressed.txt 
# tab-separated list of edges, followed by a map of
# Nodes: 1141 Edges: 1835
# FromNodeId	ToNodeId
116770718	299413847
17248121	20513956
59378077	823860
15179353	93017945
568770459	62098993
33467691	40204661
145091006	60698319
30103231	69721065
79861330	1950981
16693627	21690843
114596637	568770625
22215687	15361746
23529833	568770629
56180656	5807512
294325981	114452371
137527381	568770235
137527381	568770237
568770641	16453823
110783489	59265808
359259801	568770305
19074490	17919269
58321587	53670789
33859407	1994321
143126181	146089411
61009431	61019697
31187310	15475088
568770642	40519997
537841939	114455798
537841939	331878888
91860003	34642720
114455798	331878888
114455798	568770329
16540089	89842165
62778285	17376793
302337784	15648827
221901733	568770493
24725413	568770493
340082017	568770493
340082017	568770605
244687184	111469937
133531220	221901733
94924103	35347977
305998432	14367991
14367991	97725604
103285204	23907884
28148885	111093595
266288591	356025421
6855082	6875422
22830044	136361303
568770645	126881128
68518384	5453592
15530594	20423560
15530594	568770424
55525953	16240267
95508385	30857693
264013722	28377548
30298704	8552292
13927832	7899982
560151672	250082574
143506281	127782352
143506281	356825060
29041704	568770312
560485402	250081935
23712731	40270176
23712731	113425681
23712731	250081321
23712731	356825060
34599737	113425681
34599737	178625826
248476136	568770632
560153022	250083579
132472615	132469137
233848398	233848688
568770648	20609518
350658297	40270176
350658297	568770579
560064242	250081321
60343355	70491625
328625252	324338990
40534439	15398485
150168567	110022225
22527623	57516356
14669951	247723476
568770238	568770607
568770236	97371528
568770236	102793416
568770236	568770609
134888298	50372842
263989720	43441037
568770651	568770425
568770554	299180306
568770554	568770594
568770303	568770580
56794827	568770530
33527116	2728531
568770402	568770633
254073	568770584
27956888	16950531
19782427	568770512
568770513	29599598
568770473	568770618
41060222	23967578
119583866	71013
252812577	568770590
407347022	37601149
9367832	14813320
17933570	1760931
460318808	109586041
279213266	431885388
14682858	183341964
444500059	160817572
444500059	568770463
445034219	279213266
273018987	196035050
62422168	33754032
568770637	25858589
19122859	41027092
33327267	568770619
294664123	15158217
14278172	568770583
40288959	568770626
52023285	174010189
71099570	16303106
71099570	568770424
15604107	19148246
151597365	288493135
227866051	142818316
440370420	568770409
568770657	17876003
568770244	20609518
568770244	83825296
43262496	5445622
568770658	16186995
45579122	50794213
500217506	23545207
14363079	31928413
568770634	568770551
71988016	127502724
238300330	77845270
16946047	112720695
37676281	197897819
61164648	568770468
568770660	18481050
25835287	24980246
103652774	126420774
568770654	169686021
338093525	48612613
23841113	22027186
23841113	38531995
17261350	22027186
17261350	568770424
15485685	14989709
568770647	250082087
91433350	45902068
568770479	16303106
568770479	29747626
568770661	106837463
177399650	64251418
177399650	121929789
64251418	121929789
568770639	568770276
492742239	306282851
30618930	11226742
30618930	568770424
11226742	14163722
22134622	57305257
339497254	568770257
418313024	251706984
87056241	29747626
42880744	166419715
568770516	345782739
40747803	16306578
78337985	77522980
74875669	14075928
74875669	31928413
74875669	126881128
54464961	29113838
49539854	568770588
568770655	568770275
14959652	20476556
14959652	373040820
14959652	568770424
78960174	75873850
242524070	38082423
21205043	56843421
568770662	568770613
80443673	80754917
439898902	52551600
48280502	234141346
381268172	53491922
555548903	182199162
399543804	209361866
386189099	551532811
13985722	568770251
390242548	47845470
5416602	81192849
568770659	125472051
568770650	15955826
15345858	15081902
568770329	331878888
39296737	348812496
237970066	78342910
396075342	125688706
568770663	20609518
568770663	568770424
382825863	45514476
272798830	20609518
272798830	272797704
272798830	568770551
38123470	568770617
30344445	14813320
30344445	20609518
44542703	17720740
16033602	9023612
15554021	191938982
226962705	121573120
51686999	211241556
76134291	119781274
69111323	568770596
86174982	122200011
35392570	568770585
365155845	60130945
347700924	43844203
281795928	15052718
568770652	14075928
198629939	55905534
198629939	568770424
36493532	568770611
109025047	58395076
25403689	14194479
33232300	25407657
20118310	67719573
41926310	568770469
452225802	266857348
425149347	313890412
568770665	533121305
568770282	382096716
106414856	21181713
106414856	568770281
43434645	17952083
43434645	60646743
19292699	460607106
29172984	54819502
178826718	36139712
46926174	19281354
568770666	252192024
568770640	108361327
310687757	39689218
568770280	18122308
216484445	216065604
121825045	130928295
568770333	183658115
568770392	226280873
82389721	21184098
77992819	130166294
95137683	30861995
20813021	37091781
339775501	568770587
36006526	32812397
36006526	568770424
12628922	32812397
368250901	249339326
568770668	160817572
294228144	18147103
503824920	404338659
18456764	25701626
20073589	16683504
568770233	18077699
568770233	34373338
568770233	568770599
217416964	37666984
22045279	568770597
243905514	169686021
243905514	243287822
23733403	510501783
50305919	13818992
14637807	227349269
15479683	24569055
170745880	181128329
22074224	17354942
128919677	568770278
568770307	20344426
174293510	568770306
133249760	46419992
92541323	568770347
102161216	75940811
338157819	568770367
67265145	39887890
568770240	84091578
568770240	568770460
568770296	64516106
15228239	26919499
19754427	70872917
34373338	18077699
568770234	42121207
568770234	84091578
568770234	568770460
568770234	568770595
20584196	20772941
17490805	15295015
568770667	32598434
45859208	15745139
35367952	20609518
35367952	21148293
14148135	216559505
20157376	32387419
103571100	72235760
15770447	73402979
124285386	23832022
124285386	568770330
36609600	25328663
23997751	568770631
568770388	568770589
568770669	18089736
186031577	127600245
88020887	24188589
26334401	15211831
15211831	568770424
56394748	48528914
14372818	266272122
14372818	568770275
45489496	30805526
363192021	17142708
363192021	30805526
568770541	15567998
151911163	568770286
568770671	84091578
305326998	304422894
568770235	568770237
568770673	568770460
557236944	141380040
141380040	568770460
115150677	42121207
391774276	568770240
568770672	568770234
568770672	568770460
568770674	233091074
149680307	19604366
21595621	20725506
123308464	109405460
26735932	112402739
45894268	38543618
162515421	27764165
568770505	29522970
568770505	436215694
568770505	534026234
568770309	32257719
568770309	257098434
18996951	42857170
127861699	22055231
127861699	568770424
27826027	22055231
494728489	106031916
494728489	210419552
568770386	568770255
327789562	210419552
327789562	568770620
106031916	210419552
543335844	568770376
97796253	43583795
198931351	141255641
60909678	568770586
83422635	568770610
277246347	78602118
191678703	360715033
568770467	14082677
20283403	568770556
568770506	24420102
28732882	29522970
28732882	233091074
28732882	269412689
299304543	233091074
299304543	269412689
299304543	449273894
449273894	269412689
568770675	23832022
30149031	25430684
220209054	184574498
184574498	117304510
70706764	17609986
61289392	21559947
27010707	23832022
27010707	568770396
568770677	32886647
18687199	254218516
18687199	568770424
373023781	568770414
28968742	568770414
28968742	568770424
568770291	211678994
142814976	18059104
142814976	568770512
34637675	568770612
273542042	254218516
568770458	275631428
68489492	58114080
264992766	176924382
87988713	190701264
568770560	45045443
568770646	6451032
1376731	568770336
260523719	195640902
568770678	17468308
17573490	179104304
43645777	14795559
104328602	102763584
41187584	61605928
346315704	443808779
44621312	79514468
254270200	19671640
10341532	23500544
568770679	19096593
15740491	303994581
17551980	35614493
25403010	25079717
568770361	20609518
568770361	568770592
53810249	442870573
232574324	107156410
15342208	125879595
457847826	153183108
92813481	15467466
568770538	568770393
19846387	568770482
140227216	36155311
121940893	568770627
133982754	568770487
196790768	34537196
45431779	568770349
270695395	143457068
21160682	26035520
28835730	24114571
409148687	96342672
329089384	252980042
329089384	568770621
343536941	252980042
156271062	568770516
470937613	534026234
242448848	568770601
568770680	119875281
17493595	217900402
156872986	101376401
66251508	49715659
23959422	568770463
114651371	9938852
537437983	390903946
235672457	156290733
18474443	12509262
28528409	72340229
101062040	568770528
188867814	337626327
26319035	296937961
90787275	455618387
266288963	14493094
169423061	108978213
27571861	164204246
104399036	568770424
104399036	568770630
174006422	272531448
245929099	492612177
161875426	30104882
219055707	40175742
236587802	250080819
321948697	23922839
28310992	21045893
130510920	16746076
130510920	21045893
568770512	31130639
90892746	14870177
61541048	371924684
414083732	403874223
568770290	309067136
445659911	27788018
568770260	568770492
568770343	568770360
19282899	60646743
19282899	65478935
568770682	9639502
97044616	22448366
364557716	344344070
568770644	22027186
568770302	568770603
11866582	385770615
568770656	568770243
7607262	46419992
57768469	7607262
57768469	46419992
23106356	52331565
97081238	534026234
498442880	387962112
5745952	6514492
568770683	21992858
211215619	20227523
211215619	36976743
20227523	568770264
564884573	20227523
295097857	104811526
314092563	34189554
277775650	365148688
20442503	568770431
16582350	90452704
208620668	83892327
8790412	87075439
385959631	253877874
568770246	568770492
76561747	19323197
76561747	51808935
19323197	7985982
16575213	16953895
408550410	237670274
568770454	21827866
62271218	18731706
33570209	780457
183311169	568770274
120276532	487780606
157151010	260897346
260897346	120276532
260897346	146971893
568770275	176507184
384953260	160817572
384953260	568770269
29508241	568770591
568770649	26281970
568770281	21181713
129990776	568770242
281516605	84370843
568770320	48108211
568770248	568770606
538644724	306025835
538644724	470937613
367479292	155298011
568770247	568770593
45231319	8655082
20897505	568770604
16395789	343527241
18733164	18548880
130661910	20188834
568770367	145071865
423973919	408197359
30939530	51604839
93733494	456846767
40081665	568770623
49801021	19667970
568770676	568770396
53172595	45022627
209350781	14217832
209350781	22855448
487075173	23624239
14217832	40687215
18148483	19455368
180142619	568770614
15947890	357566086
15947890	568770275
373065123	283359505
373065123	311091941
373065123	568770352
311091941	283359505
311091941	568770352
283359505	568770352
294755620	223550564
18875269	568770582
316610821	36884777
16149312	18286505
28593358	54358730
30875186	15902799
216796302	34324080
119494722	375080088
39400202	16486336
568770478	35795904
568770416	568770581
568770416	568770622
15311206	129343479
107307894	20609518
107307894	149385392
568770684	14075928
568770684	568770424
568770448	568770598
103750926	568770602
326977175	462525753
460952140	136010193
568770243	501836993
164388488	27948627
28917060	20412569
238660875	168245588
296503351	273531261
273612420	273531261
273612420	296503351
351402014	18806781
18806781	568770424
568770568	16257506
568770568	16958682
568770635	16303106
19464421	568770285
16046689	16530496
568770670	568770525
17747287	38742405
17747287	568770424
44990457	3364401
568770362	568770624
159667645	55031893
568770553	568770600
44641669	568770555
568770556	12579252
66360171	568770616
568770636	568770424
21991753	19537303
568770552	29091711
568770270	124285386
91382639	568770388
480732702	22329169
568770262	373040820
568770262	568770615
100734868	116888317
268907935	95495939
268907935	176507184
268907935	568770275
568770638	294325981
140231997	74240598
66468822	32257719
49221113	42382736
29764688	8803492
15519045	568770236
15519045	568770412
97371528	102793416
407913469	568770236
58926548	14075928
58926548	49142323
52640422	44800299
123366132	67823676
53144417	53190034
117668566	53144417
117668566	53190034
449248658	280204575
82117615	36702477
82117615	568770425
44496963	52820773
33856822	198323063
36153634	91424196
81965113	60401849
81965113	568770246
568770555	16257506
568770555	568770608
299180306	568770594
67130415	67723244
568770239	1070491
96700599	176250232
14158259	8559342
254446866	327410484
568770565	33361384
185518062	185517320
185518062	242989196
185517320	163877154
185517320	242989196
163877154	242989196
266507694	242989196
568770685	18001717
15417495	44496963
382218838	30282704
568770643	43139414
9184682	14940487
23280947	33854114
36729081	19613646
568770686	18297088
21376345	18222378
15203781	44039181
13901302	351271933
37199515	568770471
568770687	168841922
163947953	18297088
163947953	84718003
428997955	568770331
87103895	57428429
568770288	19886456
44315333	301533399
445631628	52551600
445631628	568770424
211464941	176507184
166993835	50206183
568770653	568770238
86370920	15163466
17523402	16303106
17523402	568770425
236095234	235674051
379629261	298369805
17617073	22792140
21521996	25110434
568770664	309911897
43290855	71174328
16063556	38684527
16063556	568770424
36257808	568770622
568770681	250831586
492461904	510664087
88767883	80231135
568770261	568770628
137117427	39689218
137117427	310687757
54226675	333308575
54226675	568770232
568770232	71013
568770232	254073
568770232	780457
568770232	823860
568770232	1070491
568770232	1376731
568770232	1760931
568770232	1950981
568770232	1994321
568770232	2728531
568770232	3364401
568770232	5416602
568770232	5445622
568770232	5453592
568770232	5745952
568770232	5807512
568770232	6451032
568770232	6514492
568770232	6855082
568770232	6875422
568770232	7607262
568770232	7899982
568770232	7985982
568770232	8552292
568770232	8559342
568770232	8655082
568770232	8790412
568770232	8803492
568770232	9023612
568770232	9184682
568770232	9367832
568770232	9639502
568770232	9938852
568770232	10341532
568770232	11226742
568770232	11866582
568770232	12509262
568770232	12579252
568770232	12628922
568770232	13818992
568770232	13901302
568770232	13927832
568770232	13985722
568770232	14075928
568770232	14082677
568770232	14148135
568770232	14158259
568770232	14163722
568770232	14194479
568770232	14217832
568770232	14278172
568770232	14363079
568770232	14367991
568770232	14372818
568770232	14493094
568770232	14637807
568770232	14669951
568770232	14682858
568770232	14795559
568770232	14813320
568770232	14870177
568770232	14940487
568770232	14959652
568770232	14989709
568770232	15052718
568770232	15081902
568770232	15158217
568770232	15163466
568770232	15179353
568770232	15203781
568770232	15211831
568770232	15228239
568770232	15295015
568770232	15311206
568770232	15342208
568770232	15345858
568770232	15361746
568770232	15398485
568770232	15417495
568770232	15467466
568770232	15475088
568770232	15479683
568770232	15485685
568770232	15519045
568770232	15530594
568770232	15554021
568770232	15567998
568770232	15604107
568770232	15648827
568770232	15740491
568770232	15745139
568770232	15770447
568770232	15902799
568770232	15947890
568770232	15955826
568770232	16033602
568770232	16046689
568770232	16063556
568770232	16149312
568770232	16186995
568770232	16240267
568770232	16257506
568770232	16303106
568770232	16306578
568770232	16395789
568770232	16453823
568770232	16486336
568770232	16530496
568770232	16540089
568770232	16575213
568770232	16582350
568770232	16683504
568770232	16693627
568770232	16746076
568770232	16946047
568770232	16950531
568770232	16953895
568770232	16958682
568770232	17142708
568770232	17248121
568770232	17261350
568770232	17354942
568770232	17376793
568770232	17468308
568770232	17490805
568770232	17493595
568770232	17523402
568770232	17551980
568770232	17573490
568770232	17609986
568770232	17617073
568770232	17720740
568770232	17747287
568770232	17876003
568770232	17919269
568770232	17933570
568770232	17952083
568770232	18001717
568770232	18059104
568770232	18077699
568770232	18089736
568770232	18122308
568770232	18147103
568770232	18148483
568770232	18222378
568770232	18286505
568770232	18297088
568770232	18456764
568770232	18474443
568770232	18481050
568770232	18548880
568770232	18687199
568770232	18731706
568770232	18733164
568770232	18806781
568770232	18875269
568770232	18996951
568770232	19074490
568770232	19096593
568770232	19122859
568770232	19148246
568770232	19281354
568770232	19282899
568770232	19292699
568770232	19323197
568770232	19455368
568770232	19464421
568770232	19537303
568770232	19604366
568770232	19613646
568770232	19667970
568770232	19671640
568770232	19754427
568770232	19782427
568770232	19846387
568770232	19886456
568770232	20073589
568770232	20118310
568770232	20157376
568770232	20188834
568770232	20227523
568770232	20283403
568770232	20344426
568770232	20412569
568770232	20423560
568770232	20442503
568770232	20476556
568770232	20513956
568770232	20584196
568770232	20609518
568770232	20725506
568770232	20772941
568770232	20813021
568770232	20897505
568770232	21045893
568770232	21148293
568770232	21160682
568770232	21181713
568770232	21184098
568770232	21205043
568770232	21376345
