# Directed graph: twitter_combinedSCC.txt 
# Save as tab-separated list of edges
# Nodes: 12248 Edges: 13202
# FromNodeId	ToNodeId
16891273	568770551
116770718	299413847
17248121	20513956
65360193	16303106
59378077	823860
568770575	568770424
15179353	93017945
6693562	568770424
568770459	62098993
33467691	40204661
145091006	60698319
30103231	69721065
79861330	1950981
16693627	21690843
568770504	25858589
114596637	9555912
114596637	16181785
22215687	15361746
23529833	12997242
23529833	80273245
56180656	5807512
225663702	294325981
294325981	114452371
151503992	568770276
14582359	294325981
137527381	568770235
137527381	568770237
77518709	108361327
110783489	59265808
359259801	568770305
19074490	17919269
58321587	53670789
33859407	1994321
143126181	146089411
61009431	61019697
31187310	15475088
15639436	16453823
19979800	16453823
185888291	568770424
537841939	114455798
537841939	331878888
91860003	34642720
114455798	331878888
114455798	568770329
16540089	89842165
62778285	17376793
302337784	15648827
221901733	568770493
24725413	568770493
340082017	29749448
340082017	31927467
340082017	568770493
244687184	111469937
133531220	221901733
94924103	35347977
305998432	14367991
14367991	97725604
5854772	568770424
103285204	23907884
28148885	111093595
283805909	40519997
266288591	356025421
124521740	43139414
6855082	6875422
22830044	136361303
40823128	22027186
22173736	126881128
434486604	6451032
68518384	5453592
15530594	20423560
15530594	568770424
55525953	16240267
95508385	30857693
24360758	126881128
321500251	568770424
264013722	28377548
30298704	8552292
13927832	7899982
254273427	568770424
560150925	250082087
560151672	250082574
143506281	127782352
143506281	356825060
29041704	568770312
560485402	250081935
23712731	40270176
23712731	113425681
23712731	250081321
23712731	356825060
34599737	113425681
34599737	178625826
248476136	250081479
248476136	568770363
560153022	250083579
132472615	132469137
233848398	233848688
118959894	250082087
350658297	40270176
350658297	257352760
350658297	257805371
350658297	499253528
560064242	250081321
60343355	70491625
82969116	20609518
56903	294325981
137527834	26281970
328625252	324338990
40534439	15398485
150168567	110022225
22527623	57516356
108470765	568770424
14669951	247723476
568770238	1800991
568770238	1834401
568770238	4513051
568770238	101887892
568770238	147422023
568770236	31616760
568770236	97371528
568770236	102793416
568770236	347977166
134888298	50372842
263989720	43441037
18192774	22027186
22185696	15955826
23143893	15955826
30170259	568770424
568770554	105913007
568770554	151935146
568770554	299180306
568770303	22954987
568770303	41255213
56794827	568770530
33527116	2728531
568770402	80051030
568770402	164328875
254073	21595493
254073	58867850
113262344	568770424
43856257	568770425
53661447	568770425
27956888	16950531
19782427	568770512
568770513	29599598
568770473	21414225
568770473	47892081
41060222	23967578
119583866	71013
230833585	14075928
15679111	14075928
252812577	35184346
252812577	301732501
407347022	37601149
43748205	568770238
9367832	14813320
68917430	126881128
17933570	1760931
460318808	109586041
279213266	431885388
14682858	183341964
444500059	160817572
444500059	568770463
445034219	279213266
273018987	196035050
62422168	33754032
334505082	568770424
19122859	41027092
33327267	98271148
33327267	138822285
14467969	568770424
389970586	568770424
294664123	15158217
14278172	193465826
14278172	209355601
40288959	43383705
40288959	197611525
52023285	174010189
71099570	16303106
71099570	568770424
15604107	19148246
16242081	169686021
151597365	288493135
12381102	20609518
227866051	142818316
304239150	568770275
440370420	568770409
14904039	568770243
275405817	501836993
275405817	568770243
568770244	20609518
568770244	83825296
43262496	5445622
568770449	568770424
367036985	17876003
155503156	17876003
45579122	50794213
500217506	23545207
27179490	568770424
186078896	568770424
224849843	568770424
12742912	568770424
14363079	31928413
29187940	568770275
71988016	127502724
61600173	294325981
238300330	77845270
16946047	112720695
37676281	197897819
19536741	16303106
61164648	568770468
155671097	20609518
7795922	16186995
57604435	125472051
48567927	125472051
25835287	24980246
103652774	126420774
162665651	568770238
338093525	48612613
23841113	22027186
23841113	38531995
17261350	22027186
17261350	568770424
15485685	14989709
44569726	6451032
91433350	45902068
568770479	16303106
568770479	29747626
15633653	18481050
177399650	64251418
177399650	121929789
64251418	121929789
16151001	294325981
8291102	568770424
26130127	568770424
492742239	306282851
292648286	568770424
30618930	11226742
30618930	568770424
27945428	568770424
17219907	568770424
11226742	14163722
22134622	57305257
339497254	568770257
418313024	251706984
568770258	568770276
87056241	29747626
42880744	166419715
353780675	568770275
568770516	345782739
40747803	16306578
78337985	77522980
74875669	14075928
74875669	31928413
74875669	126881128
443164352	20609518
31034637	20609518
54464961	29113838
19254994	568770424
49539854	22940219
49539854	30254855
28136539	169686021
14959652	20476556
14959652	373040820
14959652	568770424
78960174	75873850
242524070	38082423
21205043	56843421
18675582	106837463
80443673	80754917
439898902	52551600
48280502	234141346
381268172	53491922
555548903	182199162
399543804	209361866
386189099	551532811
13985722	568770251
390242548	47845470
5416602	81192849
388000916	16186995
568770273	16303106
167553372	26281970
15345858	15081902
568770329	331878888
39296737	348812496
237970066	78342910
17864127	568770424
396075342	125688706
91408299	14317951
91408299	19151000
40169118	14317951
40169118	19151000
382825863	45514476
272798830	20609518
272798830	272797704
272798830	568770551
19697778	20609518
19697778	568770424
38123470	25547701
38123470	568770497
30344445	14813320
30344445	20609518
44542703	17720740
16033602	9023612
15554021	191938982
226962705	121573120
51686999	211241556
76134291	119781274
69111323	45630014
69111323	76127114
69111323	103951575
86174982	122200011
35392570	18499559
35392570	18548198
62299856	568770424
365155845	60130945
347700924	43844203
281795928	15052718
97588602	568770425
198629939	55905534
198629939	568770424
36493532	36686415
36493532	145471511
285949141	568770424
109025047	58395076
25403689	14194479
33232300	25407657
20118310	67719573
29726385	14075928
41926310	568770469
452225802	266857348
425149347	313890412
526677493	309911897
399174429	309911897
192341084	309911897
568770282	382096716
106414856	21181713
106414856	568770281
43434645	17952083
43434645	60646743
19292699	460607106
29172984	54819502
389350731	533121305
178826718	36139712
46926174	19281354
34883756	533121305
146993258	126881128
24068280	568770276
310687757	39689218
568770280	18122308
216484445	216065604
121825045	130928295
568770333	183658115
26003792	252192024
568770392	226280873
82389721	21184098
77992819	130166294
95137683	30861995
20813021	37091781
339775501	41519078
339775501	41519517
36006526	32812397
36006526	568770424
12628922	32812397
17982693	32598434
25211744	568770424
368250901	249339326
58558381	32598434
294228144	18147103
503824920	404338659
18456764	25701626
20073589	16683504
568770233	341423
568770233	9973052
568770233	14316555
568770233	16073664
568770233	16135883
568770233	17824718
568770233	18077699
568770233	20490561
568770233	20685260
568770233	34373338
568770233	52652700
568770233	82455829
568770233	95137429
568770233	215533065
568770233	297911806
568770233	443066134
217416964	37666984
22045279	18193465
22045279	25313589
15081160	169686021
243905514	169686021
243905514	243287822
23733403	510501783
50305919	13818992
14637807	227349269
15479683	24569055
18530677	106837463
170745880	181128329
22074224	17354942
128919677	568770278
26030584	568770238
568770307	20344426
174293510	568770306
133249760	46419992
92541323	568770347
102161216	75940811
338157819	568770367
67265145	39887890
568770240	84091578
568770240	568770460
568770296	64516106
15228239	26919499
41747765	106837463
19754427	70872917
34373338	18077699
568770234	42121207
568770234	64723750
568770234	84091578
568770234	124333225
568770234	174108087
568770234	196340050
568770234	330070220
568770234	361932146
568770234	568770460
20584196	20772941
17490805	15295015
38593159	252192024
45859208	15745139
35367952	20609518
35367952	21148293
208228029	20609518
14148135	216559505
20157376	32387419
103571100	72235760
15770447	73402979
124285386	23832022
124285386	568770330
36609600	25328663
23997751	9134752
23997751	16251055
568770388	120851518
568770388	402985607
20621039	160817572
186031577	127600245
20340108	18089736
88020887	24188589
568770509	16303106
26334401	15211831
15211831	568770424
51219631	16303106
19226957	568770425
56394748	48528914
14372818	266272122
14372818	568770275
45489496	30805526
